228|12|84|30||||
231|12|84|30|9.0|[9,17]||
242|12|84|15||||
270|12|76|30||||
272|12|76|30||||
273|12|76|30||||
277|12|88|30||||
322|12|88|5||||
327|12|80|30||||
328|12|80|30||||
330|12|80|30||||
331|12|80|30|-7|[15,24]|[1,2],[15,24]|
341|12|88|30||[16,21]|[9,11],[15,20]|
344|12|88|30||||
381|12|80|30||||
398|12|80|30|+2|[8,18]|[9,13],[14,19]|
439|12|80|30||||
440|12|80|30|-7|[14,24]|[1,7]|
455|12|80|30||||
11|11|94|30||||
39|11|94|30||||
44|11|94|5||||
45|11|94|30||||
49|11|34|30||||
59|11|95|30||||
66|11|101|30|-4|[7,9],[20,24]|[8,9],[20,24]|[1,7]
90|11|93|30||||
101|11|95|30||||
104|11|102|30|-3|[10,17]|[10,17]|
110|11|95|30||||
115|11|93|15||||
118|11|94|5||||
121|11|93|30||||
122|11|101|30|-3|[12,22]|[12,22]|
123|11|93|30|+1|[12,23]|[12,23]|
147|11|94|15|+2|[7,13],[16,19]|[7,20]|
156|11|95|30||||
167|11|94|15||||
198|11|94|15||||
218|11|101|30||||
220|11|101|30|-3|[20,23]|[18,24]|
227|11|98|30|+2|[7,20]|[6,8],[12,20]|
238|11|94|5||||
239|11|93|15||||
244|11|99|30||||
269|11|98|30|-7|[17,24]|[1,5]|[1,5]
274|11|92|30||[14,17]||
276|11|92|30||[16,19]|[16,19]|
278|11|92|30|+8|[7,10]|[9,11]|[1,4]
279|11|92|30|+2|[8,10],[12,15]|[8,10],[12,15]|
282|11|95|30||||
304|11|95|30||[15,18],[20,24]|[14,18],[20,24]|
306|11|92|30|+2|[7,21]||
309|11|95|30||||
350|11|101|30|-4|[16,20]|[12,17],[20,24]|
352|11|96|30||||
364|11|96|30||||
377|11|92|30||[13,16]||
379|11|99|30|+2|[7,11],[13,17]|[7,11],[13,17]|
392|11|99|30||||
400|11|99|30||||
405|11|101|30||||
414|11|101|30|-5|[22,23]|[22,23]|
416|11|100|30||||
417|11|100|30||||
418|11|101|30||||
419|11|100|30||||
429|11|100|30||||
25|13|73|30||||
32|13|73|30||||
77|13|73|30||||
78|13|73|15||||
113|13|73|30|-7|[20,24]|[17,23]|
142|13|73|30||||
180|13|73|5||||
182|13|73|5||||
212|13|36|30||||
223|13|36|30||||
229|13|36|30||||
230|13|36|30|+2|[7,21]|[7,21]|
233|13|36|30|+1|[9,17]|[9,17]|
253|13|36|30|-7|[7,9],[17,21],[22,24]|[1,2],[3,9],[17,21],[22,24]|[1,2],[3,7]
258|13|36|30||||
324|13|36|30||||
194|10|115|30|+2|[8,20]|[9,20]|
210|10|33|30|+2|[7,20]||
215|10|116|30|+1|[11,19]|[11,20]|
226|10|33|30||||
266|10|115|30|+2|[9,16]|[9,20]|
267|10|116|30|+2||[8,16]|
268|10|115|30|+2|[7,16]|[7,11]|
280|10|115|30||||
283|10|115|30||||
287|10|33|30||||
307|10|117|30||||
325|10|148|30||||
338|10|33|30|+2||[8,17]|
342|10|121|30|-5|[9,10]|[12,23]|
343|10|121|30|+1|[10,18]|[10,18]|
346|10|121|30|+2|[9,20]|[10,19]|
348|10|115|30||||
359|10|114|30||||
360|10|148|30|+2|[7,16]||
367|10|33|30||||
376|10|148|30||||
387|10|114|30||||
390|10|118|30|+2|[7,8],[11,14]|[6,17]|
399|10|118|30||||
406|10|114|30||||
433|10|115|30||||
441|10|148|30||||
456|10|118|30||||
457|10|118|30||||
458|10|118|30||||
35|9|106|30|+2|[9,11],[12,17]|[9,18]|
